featurename
Add Pull Out Trash Can
Do Not Add Trash Can Pull Out
Add 1 ROTB15
Do Not Add Roll Out Trays
Add 2 ROTB15
Standard Finish Base / Wall Cabinet Assembly
Standard Finish Utility / Oven Cabinet Assembly
No Assembly / Customer Will Assemble Upon Receipt
Left Side Exposed
Right Side Exposed
No Side Exposed
Both Side Exposed
Hinge Right
Hinge Left
French Vanilla Deluxe With Charcoal Glaze Price Includes Assembly
French Vanilla Deluxe With Chocolate Glaze Price Includes Assembly
French Vanilla Deluxe With Pewter Glaze Price Includes Assembly
French Vanilla Deluxe With Harvest Glaze Including Assembly
Black Distressed Ginger Price Includes Assembly
Ginger Vandyke Distressed Price Includes Assembly
Mocha Deluxe Vandyke Distressed Price Includes Assembly
French Vanilla Deluxe Vandyke Distressing Price Includes Assembly
Standard Black Finish Price Includes Assembly
Ginger Vandyke Rub Finish Includes Assembly
Mocha Deluxe Vandyke Rub Includes Assembly
Mocha Deluxe
Ginger Deluxe
French Vanilla Deluxe
Brandywine Shaker
White Shaker
Harvest Deluxe
Teaberry Price Includes Assembly
Black Distressed Mocha Price Includes Assembly
White Deluxe Chocolate Glaze
Black Shaker Price Includes Assembly
Dark Grey Shaker Price Includes Assembly
Light Grey Shaker Price Includes Assembly
Green Chocolate Glaze Price Includes Assembly
White Deluxe Chocolate Mist
White Deluxe Charcoal Mist
White Deluxe Vandyke Distressed
Pecan With Black Glaze
Pecan Distressed
White Deluxe No Glaze
Espresso Shaker
Do Not Add Pull Out Trash Can
Add Pull Out Trash Can For B18
Add Roll Out Tray To B18
Add 2 ROTB18
White Deluxe Without Glaze
Add Roll Out Tray To B21
Add 2 Roll Out Trays To B21
Do Not Add Roll Out Tray To B21
Base / Wall Cabinet Assembly
Utility / Oven Cabinet Assembly
Custom Finish Selected Which Includes Assembly
Left Side Skin / Exposed Left Side
Right Side Skin / Exposed Right Side
No Side Finished / Cabinet Sides Not Exposed
Both Side Panel Skins / Both Sides Exposed
French Vanilla Deluxe With Charcoal Glaze
French Vanilla Deluxe With Chocolate Glaze
French Vanilla Deluxe With Pewter Glaze
French Vanilla Deluxe With Harvest Glaze
White Shaker 
Black Distressed 
Ginger Vandyke Distressed
Mocha Deluxe Vandyke Distressed
French Vanilla Deluxe Vandyke Distressing
Black Finish
Ginger Harvest 
Ginger Vandyke 
Mocha Deluxe Vandyke Rub
Add Roll Out Tray
Add 2 ROTB24
Add 2 ROTB27
Add 2 ROTB30
"Add 1 33"" Roll Out Tray"
"Add 2 33"" Roll Out Trays"
Add 1 Roll Out Tray
Add 2 Roll Out Trays

Add 4 Roll Out Trays
Teaberry
Black Shaker
Dark Grey Shaker
Light Grey Shaker
Green Chocolate Glaze
French Vanilla Deluxe With Charcoal Glaze Price Includes Assembly 
Add Pull Out Spice Rack
Teaberry Includes Assembly
Black Shaker Includes Assembly
Dark Grey Shaker Includes Assembly
Light Grey Shaker Includes Assembly
Green Chocolate Glaze Includes Assembly
Espresso Shaker Includes Assembly
White Deluxe Chocolate Mist Includes Assembly
White Deluxe Charcoal Mist Includes Assembly
White Deluxe Vandyke Distressed Includes Assembly
White Deluxe Without Glaze Includes Assembly
Pecan With Black Glaze Includes Assembly
Pecan Distressed Includes Assembly
"Add 8"" Pull Out Spice Rack"
Add 3 Roll Out Trays
Add 5 Roll Out Trays
"Add 28"" Super Susan Spinners "
Do Not Add Super Susan Spinners
Do Not Add Lazy Susan Spinners
"Add 32"" Super Susan Spinners"
Standard Finish Tall Oven / Utility Cabinet Assembly
Reduce Depth To 9 Inches
Reduce Depth To 6 Inches
Reduce Depth To 21 
Reduce Depth To 18
Reduce Depth To 15 Inches
Reduce Depth To 12
Add Finish Interior To Cabinet
Finish Interior Option Standard Finish Cabinet
Finish Interior Option Custom Finish Cabinet
Increase Depth To 15 Inches
Increase Depth To 18 Inches
Increase Depth To 21 Inches
Increase DepthTo 24 Inches
Increase Depth To 27 Inches
Prep Door For Glass
Do Not Add Pull Out Spice Rack
"Add 5"" Wall Pul Out Spice Rack"
Add Mullion Doors
Do Not Add Mullion Doors
Add Mullion Doors Standard Finish
Add Mullion Doors Custom Finish
"Add 8"" Wall Pull Out Spice Rack"
Do Not Add Wall Pull Out Spice rack
Prep Door For Glass Option
Light Grey Deluxe
Finish Interior Standard Finish
Finish Interior Option Custom Finish
Prep Doors For Glass Option
"Add 5"" Wall Pull Out Spice Rack"
Finish Interior Option 
Increase Depth To 15 Inches Custom Finish
Add Standard Finish Mullion Door
Add Custom Finish Mullion Door
Standard Finish Mullion Doors
Custom Finish Mullion Doors
Add Finished Interior Standard Finish Cabinet
Do Not Add Finished Interior
Add Finished Interior Custom Finish Cabinet
Do Not Add Lazy Susan
"18"" Diagonal Wall Lazy Susan Spinners"
"Add 18"" Lazy Susan Spinners"
Do Not Finish Interior
Do Not Add Lazy Susan Spinner
Add Lazy Susan Spinners
Add Custom Finished Interior
Add Mullion Door Standard Finish
Add Mullion Door Custom Finish
"Reduce Depth To 21"""
"Reduce Depth To 18"""
Increase Depth To 27 Inches Custom Finish
Increase Depth To 27 Inches Standard Finish
"reduce Depth To 21"" Standard Finish "
"Reduce Depth To 21"" Custom Finish "
"Reduce Depth To 18"" Standard Finish "
"Reduce Depth To 18"" Custom Finish "
"Reduce Depth To 15"" Standard Finish "
"Reduce Depth To 15"" Custom Finish "
"reduce Depth To 12"" Standard Finish "
"Reduce Depth To 12"" Custom Finish "
"reduce Depth To 9"" Standard Finish "
"Reduce Depth To 9"" Custom Finish "
Add Finished Interior Custom Finished Interior
Add Finished Interior Standard Finish
Reduce Depth To 12 Inches
"Increase Depth To 15"""
"Increase Depth To 18"""
"Increase Depth To 21"""
Black Price Includes Assembly
Dark Grey Price Includes Assembly
Light Grey Price Includes Assembly
Chocolate Mist
Charcoal Mist
Harvest Mist
Pewter Mist
None
Chocolate Pen
No Assembly / Customer To Assemble Upon Receipt
Custom Finish Selected Assembly Included
"Increase Depth To 27"""
Add Prep Door For Glass (Includes Routing Center Panel Of Cabinet Door)
Ginger Vandyke Rub
Pistachio Distressed
Buttercream Distressed 
"11"" Pull Out Multi Use Basket"
"14"" Pull Out Multi Use Basket"
"11"" Pull Out Wire Basket"
"14"" Pull Out Wire Basket"
Sink Base Door Storage Basket
Tip Out Tray
Add Round Susan Spinners
White Deluxe No Glaze Includes Assembly
Pistachio Distressed Price Includes Assembly
Buttercream Distressed Price Includes Assembly
Add Prep Top Door For Glass
"Add 32"" Lazy Susan Spinners"
Add Finished Interior Custom Finish
White Deluxe Chocolate Mist Price Includes Assembly
White Deluxe Charcoal Mist Price Includes Assembly
White Deluxe Without Glaze Price Includes Assembly
Pecan With Black Glaze Price Includes Assembly
White Deluxe Vandyke Distressed Price Includes Assembly
Pecan Distressed Price Includes Assembly
Bright Nickel Burnished with a Dull Lacquer
Dark Antique Copper Machined
Dark Brushed Antique Copper
 Satin Nickel
Bright Nickel Burnished with Dull Lacquer.
Satin Nickel
Gun Metal
Bright Nickel
Polished Chrome
Antique Brass
Brushed Chrome
Black Nickel
Matte Black
Pil Rubbed Bronze
Polished Brass
Satin Brass
Oil Rubbed Bronze
"Increase Wall Cabinet Depth To 15"""
"Increase Wall Cabinet Depth To 18"""
"Increase Wall Cabinet Depth To 21"""
"Increase Wall Cabinet Depth To 24"""
Add Prep Doors For Glass (Includes Routing Center Panel Of Cabinet Door)
reduce Depth To 21 Inchese
Reduce Depth To 18 Inches
Buttercream Distressed
Add  Finished Interior Custom Finish
Add  Finished Interior Standard Finish
