id,optionid,productid,catalogid,featurecaption,featurecaption_id,featuretype,featurerequired,sorting,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty
34,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33549,White Deluxe Chocolate Glaze,0,10,WDCG,assets/images/WhiteChocolatePen.jpg,0,0,0,1
35,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33550,Black Shaker Price Includes Assembly,85,5,BSS,assets/images/Germantown Black.jpg,0,0,0,1
36,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33551,Dark Grey Shaker Price Includes Assembly,85,4,GS,assets/images/CraftsmanDkGrey.jpg,0,0,0,1
37,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33552,Light Grey Shaker Price Includes Assembly,85,3,LGS,assets/images/CraftsmanLtGrey.jpg,0,0,0,1
38,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33553,Green Chocolate Glaze Price Includes Assembly,115,30,GCG,assets/images/Green Chocolate.jpg,0,0,0,1
39,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33554,White Deluxe Chocolate Mist,115,12,WDCM,assets/images/WhiteDeluxeChocolateMist.jpg,0,0,0,1
40,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33555,White Deluxe Charcoal Mist,115,13,WDCHM,assets/images/White Deluxe Chocolate Mist.jpg,0,0,0,1
41,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33556,White Deluxe Vandyke Distressed,130,14,WDVDD,assets/images/WhiteDeluxeSample.jpg,0,0,0,1
42,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33557,Pecan With Black Glaze,115,29,PCBG,assets/images/PecanGlaze.jpg,0,0,0,1
43,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33558,Pecan Distressed,130,28,PCDS,assets/images/PecanGlaze.jpg,0,0,0,1
44,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33559,White Deluxe No Glaze,85,11,WDNG,assets/images/DSC_0320.JPG,0,0,0,1
45,5458,B15,8,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33560,Espresso Shaker,100,2,ESP,assets/images/Door Colors/Germantown Expresso.jpg,0,0,0,1
46,3824,B18,9,Cabinet Assembly,,Dropdown,0,3,19165,Standard Finish Base / Wall Cabinet Assembly,30,2,ASSR,,0,0,0,1
47,3824,B18,9,Cabinet Assembly,,Dropdown,0,3,19166,Standard Finish Utility / Oven Cabinet Assembly,60,3,ASST,,0,0,0,1
48,3824,B18,9,Cabinet Assembly,,Dropdown,0,3,19167,No Assembly / Customer Will Assemble Upon Receipt,0,0,CAS,,0,0,0,1
49,3823,B18,9,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19161,Left Side Exposed,0,1,LSF,,0,0,0,1
50,3823,B18,9,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19162,Right Side Exposed,0,2,RSF,,0,0,0,1
51,3823,B18,9,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19163,No Side Exposed,0,0,NSF,,0,0,0,1
52,3823,B18,9,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19164,Both Side Exposed,0,3,BSF,,0,0,0,1
53,3825,B18,9,Hinge Direction,,Dropdown,0,4,19168,Hinge Right,0,0,HR,,0,0,0,1
54,3825,B18,9,Hinge Direction,,Dropdown,0,4,19169,Hinge Left,0,1,HL,,0,0,0,1
55,3351,B18,9,Pull Out Trash Can Option,,DropImage,0,5,15334,Do Not Add Pull Out Trash Can,0,0,DNTRSH18,assets/images/trashpullout_thumbnail.jpg,0,0,0,1
56,3351,B18,9,Pull Out Trash Can Option,,DropImage,0,5,15335,Add Pull Out Trash Can For B18,145,1,TRSH18,assets/images/trashpullout_thumbnail.jpg,0,0,0,1
57,3352,B18,9,Roll Out Tray Option,,Dropdown,0,6,15336,Add Roll Out Tray To B18,50,1,ROTB18,,0,0,0,1
58,3352,B18,9,Roll Out Tray Option,,Dropdown,0,6,32923,Add 2 ROTB18,100,2,ROTB18,,0,0,0,1
59,3352,B18,9,Roll Out Tray Option,,Dropdown,0,6,32924,Do Not Add Roll Out Trays,0,0,ROTB18,,0,0,0,1
60,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32925,French Vanilla Deluxe With Charcoal Glaze Price Includes Assembly,115,17,FVCG,assets/images/JobPics/fv_chrkl_copy.jpg,0,0,0,1
61,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32926,French Vanilla Deluxe With Chocolate Glaze Price Includes Assembly,115,20,FVCHG,assets/images/JobPics/fv_choc.jpg,0,0,0,1
62,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32927,French Vanilla Deluxe With Pewter Glaze Price Includes Assembly,115,19,FVPG,assets/images/JobPics/fv_pwtr_copy.jpg,0,0,0,1
63,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32928,French Vanilla Deluxe With Harvest Glaze Including Assembly,115,18,FVHG,assets/images/JobPics/fv_hvst_copy.jpg,0,0,0,1
64,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32929,Black Distressed Ginger Price Includes Assembly,130,10,BDSTR-FG,assets/images/JobPics/blk_dst_copy.jpg,0,0,0,1
65,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32930,Ginger Vandyke Distressed Price Includes Assembly,130,12,GDVD,assets/images/JobPics/gngr_vndyk_copy.jpg,0,0,0,1
66,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32931,Mocha Deluxe Vandyke Distressed Price Includes Assembly,130,14,MDVD,assets/images/JobPics/mk_vndyk_copy.jpg,0,0,0,1
67,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32932,French Vanilla Deluxe Vandyke Distressing Price Includes Assembly,130,16,FVVD,assets/images/JobPics/pl-1286913660B_FranklinFrenchVanilla_VanDykeDistressed1.jpg,0,0,0,1
68,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32933,Standard Black Finish Price Includes Assembly,90,9,SBF,assets/images/JobPics/pt-1287676745B_Plain_Black1.jpg,0,0,0,1
69,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32934,Ginger Vandyke Rub Finish Includes Assembly,115,13,GVD,assets/images/JobPics/pt-1286915389B_FranklinGinger_VanDykeRubbed1.jpg,0,0,0,1
70,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32935,Mocha Deluxe Vandyke Rub Includes Assembly,115,15,MVD,assets/images/JobPics/pt-1286917400B_FranklinMocha_VanDykeRubbed1.jpg,0,0,0,1
71,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32936,Mocha Deluxe,0,3,MD,assets/images/JobPics/Mocha.jpg,0,0,0,1
72,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32937,Ginger Deluxe,0,4,GD,assets/images/JobPics/Ginger.jpg,0,0,0,1
73,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32938,French Vanilla Deluxe,0,6,FV,assets/images/French Vanilla Deluxe.jpg,0,0,0,1
74,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32939,Brandywine Shaker,0,1,BS,assets/images/JobPics/Brandywine_Shaker.jpg,0,0,0,1
75,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32940,White Shaker,0,0,WS,assets/images/WhiteShaker.jpg,0,0,0,1
76,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32941,Harvest Deluxe,0,5,HD,assets/images/JobPics/Ginger_HarvestStain.jpg,0,0,0,1
77,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32942,Teaberry Price Includes Assembly,90,8,TEAB-ST,assets/images/Teaberry.jpg,0,0,0,1
78,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32943,Black Distressed Mocha Price Includes Assembly,130,11,BDSTR-FM,assets/images/blk_dst_copy.jpg,0,0,0,1
79,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32944,White Deluxe Chocolate Glaze,0,7,WDCG,assets/images/WhiteChocolatePen.jpg,0,0,0,1
80,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32945,Black Shaker Price Includes Assembly,90,2,BSS,assets/images/Germantown Black.jpg,0,0,0,1
81,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32946,Dark Grey Shaker Price Includes Assembly,90,2,GS,assets/images/CraftsmanDkGrey.jpg,0,0,0,1
82,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32947,Light Grey Shaker Price Includes Assembly,90,2,LGS,assets/images/CraftsmanLtGrey.jpg,0,0,0,1
83,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32948,Green Chocolate Glaze Price Includes Assembly,115,21,GCG,assets/images/Green Chocolate.jpg,0,0,0,1
84,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32949,White Deluxe Chocolate Mist,115,8,WDCM,assets/images/WhiteDeluxeChocolateMist.jpg,0,0,0,1
85,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32950,White Deluxe Charcoal Mist,115,8,WDCHM,assets/images/White Deluxe Chocolate Mist.jpg,0,0,0,1
86,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32951,White Deluxe Vandyke Distressed,125,8,WDVDD,assets/images/WhiteDeluxeSample.jpg,0,0,0,1
87,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32952,White Deluxe Without Glaze,90,8,WD,assets/images/French Vanilla Deluxe.jpg,0,0,0,1
88,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32953,Pecan With Black Glaze,115,12,PCBG,assets/images/PecanGlaze.jpg,0,0,0,1
89,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32954,Pecan Distressed,130,12,PCDS,assets/images/PecanGlaze.jpg,0,0,0,1
90,5407,B18,9,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33605,Espresso Shaker,90,2,ESP,assets/images/Door Colors/Germantown Expresso.jpg,0,0,0,1
91,3829,B21,10,Cabinet Assembly,,Dropdown,0,3,19199,Standard Finish Base / Wall Cabinet Assembly,30,2,ASSR,,0,0,0,1
92,3829,B21,10,Cabinet Assembly,,Dropdown,0,3,19200,Standard Finish Utility / Oven Cabinet Assembly,60,3,ASST,,0,0,0,1
93,3829,B21,10,Cabinet Assembly,,Dropdown,0,3,19201,No Assembly / Customer Will Assemble Upon Receipt,0,0,CAS,,0,0,0,1
94,3828,B21,10,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19195,Left Side Exposed,0,1,LSF,,0,0,0,1
95,3828,B21,10,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19196,Right Side Exposed,0,2,RSF,,0,0,0,1
96,3828,B21,10,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19197,No Side Exposed,0,0,NSF,,0,0,0,1
97,3828,B21,10,Finished Side Panel Skins As You Are Looking At The Cabinet Front,,Dropdown,0,2,19198,Both Side Exposed,0,3,BSF,,0,0,0,1
98,3830,B21,10,Hinge Direction,,Dropdown,0,4,19202,Hinge Right,0,0,HR,,0,0,0,1
99,3830,B21,10,Hinge Direction,,Dropdown,0,4,19203,Hinge Left,0,1,HL,,0,0,0,1
